BI-7Day-RR;BI-7Day-RR;BI-7Day-RR;BI-7Day-RR
;;;
NO;Tanggal;BI-7Day-RR;
1;18 Juni 2025;5.50 %;
2;21 Mei 2025;5.50 %;
3;23 April 2025;5.75 %;
4;19 Maret 2025;5.75 %;
5;19 Februari 2025;5.75 %;
6;15 Januari 2025;5.75 %;
7;18 Desember 2024;6.00 %;
8;20 November 2024;6.00 %;
9;16 Oktober 2024;6.00 %;
10;18 September 2024;6.00 %;
11;21 Agustus 2024;6.25 %;
12;17 Juli 2024;6.25 %;
13;20 Juni 2024;6.25 %;
14;22 Mei 2024;6.25 %;
15;24 April 2024;6.25 %;
16;20 Maret 2024;6.00 %;
17;21 Februari 2024;6.00 %;
18;17 Januari 2024;6.00 %;
19;21 Desember 2023;6.00 %;
20;23 November 2023;6.00 %;
21;19 Oktober 2023;6.00 %;
22;21 September 2023;5.75 %;
23;24 Agustus 2023;5.75 %;
24;25 Juli 2023;5.75 %;
25;22 Juni 2023;5.75 %;
26;25 Mei 2023;5.75 %;
27;18 April 2023;5.75 %;
28;16 Maret 2023;5.75 %;
29;16 Februari 2023;5.75 %;
30;19 Januari 2023;5.75 %;
31;22 Desember 2022;5.50 %;
32;17 November 2022;5.25 %;
33;20 Oktober 2022;4.75 %;
34;22 September 2022;4.25 %;
35;23 Agustus 2022;3.75 %;
36;21 Juli 2022;3.50 %;
37;23 Juni 2022;3.50 %;
38;24 Mei 2022;3.50 %;
39;19 April 2022;3.50 %;
40;17 Maret 2022;3.50 %;
41;10 Februari 2022;3.50 %;
42;20 Januari 2022;3.50 %;
43;16 Desember 2021;3.50 %;
44;18 November 2021;3.50 %;
45;19 Oktober 2021;3.50 %;
46;21 September 2021;3.50 %;
47;19 Agustus 2021;3.50 %;
48;22 Juli 2021;3.50 %;
49;17 Juni 2021;3.50 %;
50;25 Mei 2021;3.50 %;
51;20 April 2021;3.50 %;
52;18 Maret 2021;3.50 %;
53;18 Februari 2021;3.50 %;
54;21 Januari 2021;3.75 %;
55;17 Desember 2020;3.75 %;
56;19 November 2020;3.75 %;
57;13 Oktober 2020;4.00 %;
58;17 September 2020;4.00 %;
59;19 Agustus 2020;4.00 %;
60;16 Juli 2020;4.00 %;
61;18 Juni 2020;4.25 %;
62;19 Mei 2020;4.50 %;
63;14 April 2020;4.50 %;
64;19 Maret 2020;4.50 %;
65;20 Februari 2020;4.75 %;
66;23 Januari 2020;5.00 %;
67;19 Desember 2019;5.00 %;
68;21 November 2019;5.00 %;
69;24 Oktober 2019;5.00 %;
70;19 September 2019;5.25 %;
71;22 Agustus 2019;5.50 %;
72;18 Juli 2019;5.75 %;
73;20 Juni 2019;6.00 %;
74;16 Mei 2019;6.00 %;
75;25 April 2019;6.00 %;
76;21 Maret 2019;6.00 %;
77;21 Februari 2019;6.00 %;
78;17 Januari 2019;6.00 %;
79;20 Desember 2018;6.00 %;
80;15 November 2018;6.00 %;
81;23 Oktober 2018;5.75 %;
82;27 September 2018;5.75 %;
83;15 Agustus 2018;5.50 %;
84;19 Juli 2018;5.25 %;
85;29 Juni 2018;5.25 %;
86;30 Mei 2018;4.75 %;
87;17 Mei 2018;4.50 %;
88;19 April 2018;4.25 %;
89;22 Maret 2018;4.25 %;
90;15 Februari 2018;4.25 %;
91;18 Januari 2018;4.25 %;
