Data Inflasi;Data Inflasi;Data Inflasi;Data Inflasi
;;;
No;Periode;Data Inflasi;
1;Juli 2025;2.37 %;
2;Juni 2025;1.87 %;
3;Mei 2025;1.6 %;
4;April 2025;1.95 %;
5;Maret 2025;1.03 %;
6;Februari 2025;-0.09 %;
7;Januari 2025;0.76 %;
8;Desember 2024;1.57 %;
9;November 2024;1.55 %;
10;Oktober 2024;1.71 %;
11;September 2024;1.84 %;
12;Agustus 2024;2.12 %;
13;Juli 2024;2.13 %;
14;Juni 2024;2.51 %;
15;Mei 2024;2.84 %;
16;April 2024;3 %;
17;Maret 2024;3.05 %;
18;Februari 2024;2.75 %;
19;Januari 2024;2.57 %;
20;Desember 2023;2.61 %;
21;November 2023;2.86 %;
22;Oktober 2023;2.56 %;
23;September 2023;2.28 %;
24;Agustus 2023;3.27 %;
25;Juli 2023;3.08 %;
26;Juni 2023;3.52 %;
27;Mei 2023;4 %;
28;April 2023;4.33 %;
29;Maret 2023;4.97 %;
30;Februari 2023;5.47 %;
31;Januari 2023;5.28 %;
32;Desember 2022;5.51 %;
33;November 2022;5.42 %;
34;Oktober 2022;5.71 %;
35;September 2022;5.95 %;
36;Agustus 2022;4.69 %;
37;Juli 2022;4.94 %;
38;Juni 2022;4.35 %;
39;Mei 2022;3.55 %;
40;April 2022;3.47 %;
41;Maret 2022;2.64 %;
42;Februari 2022;2.06 %;
43;Januari 2022;2.18 %;
44;Desember 2021;1.87 %;
45;November 2021;1.75 %;
46;Oktober 2021;1.66 %;
47;September 2021;1.6 %;
48;Agustus 2021;1.59 %;
49;Juli 2021;1.52 %;
50;Juni 2021;1.33 %;
51;Mei 2021;1.68 %;
52;April 2021;1.42 %;
53;Maret 2021;1.37 %;
54;Februari 2021;1.38 %;
55;Januari 2021;1.55 %;
56;Desember 2020;1.68 %;
57;November 2020;1.59 %;
58;Oktober 2020;1.44 %;
59;September 2020;1.42 %;
60;Agustus 2020;1.32 %;
61;Juli 2020;1.54 %;
62;Juni 2020;1.96 %;
63;Mei 2020;2.19 %;
64;April 2020;2.67 %;
65;Maret 2020;2.96 %;
66;Februari 2020;2.98 %;
67;Januari 2020;2.68 %;
68;Desember 2019;2.72 %;
69;November 2019;3 %;
70;Oktober 2019;3.13 %;
71;September 2019;3.39 %;
72;Agustus 2019;3.49 %;
73;Juli 2019;3.32 %;
74;Juni 2019;3.28 %;
75;Mei 2019;3.32 %;
76;April 2019;2.83 %;
77;Maret 2019;2.48 %;
78;Februari 2019;2.57 %;
79;Januari 2019;2.82 %;
80;Desember 2018;3.13 %;
81;November 2018;3.23 %;
82;Oktober 2018;3.16 %;
83;September 2018;2.88 %;
84;Agustus 2018;3.2 %;
85;Juli 2018;3.18 %;
86;Juni 2018;3.12 %;
87;Mei 2018;3.23 %;
88;April 2018;3.41 %;
89;Maret 2018;3.4 %;
90;Februari 2018;3.18 %;
91;Januari 2018;3.25 %;
