year,sheet,_source_file,Tahun,PDB (Milyar),PDB (Milyar).1,variable,value
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"3,396,302.60","5,947,005.40",Perubahan (%),4.04
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"3,264,533.70","5,665,930.20",Perubahan (%),-0.98
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2024,"12,920,281.70","22,138,964.00",Perubahan (%),5.03
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"3,296,741.70","5,674,929.80",Perubahan (%),0.53
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"3,279,509.80","5,638,869.10",Perubahan (%),1.5
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"3,230,990.30","5,536,588.50",Perubahan (%),3.79
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"3,113,039.90","5,288,576.60",Perubahan (%),-0.83
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2023,"12,301,475.10","20,892,348.50",Perubahan (%),5.05
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"3,139,160.60","5,302,657.70",Perubahan (%),0.45
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"3,124,968.20","5,294,903.30",Perubahan (%),1.6
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"3,075,781.90","5,223,290.30",Perubahan (%),3.86
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"2,961,564.40","5,071,497.20",Perubahan (%),-0.9
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2022,"11,710,223.20","19,588,459.90",Perubahan (%),5.31
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"2,988,527.40","5,114,797.40",Perubahan (%),0.36
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"2,977,920.00","5,066,968.20",Perubahan (%),1.83
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"2,924,444.00","4,898,031.80",Perubahan (%),3.73
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"2,819,331.80","4,508,662.50",Perubahan (%),-0.94
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2021,"11,120,059.70","16,976,751.40",Perubahan (%),3.7
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"2,846,056.90","4,498,412.50",Perubahan (%),1.05
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"2,816,492.10","4,327,383.90",Perubahan (%),1.57
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"2,773,065.20","4,178,022.00",Perubahan (%),3.3
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"2,684,445.50","3,972,933.00",Perubahan (%),-0.93
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2020,"10,722,999.30","15,443,353.20",Perubahan (%),-2.07
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"2,709,721.70","3,931,411.20",Perubahan (%),-0.4
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"2,720,481.30","3,897,851.90",Perubahan (%),5.05
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"2,589,769.20","3,690,742.20",Perubahan (%),-4.19
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"2,703,027.10","3,923,347.90",Perubahan (%),-2.41
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2019,"10,949,155.40","15,832,657.20",Perubahan (%),5.02
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"2,769,748.10","4,018,606.20",Perubahan (%),-1.74
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"2,818,812.70","4,067,358.00",Perubahan (%),3.05
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"2,735,414.10","3,964,074.70",Perubahan (%),4.2
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"2,625,180.50","3,782,618.30",Perubahan (%),-0.52
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2018,"10,425,851.90","14,838,756.00",Perubahan (%),5.17
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"2,638,969.60","3,799,213.50",Perubahan (%),-1.69
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"2,684,332.20","3,842,343.00",Perubahan (%),3.09
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"2,603,852.60","3,686,836.40",Perubahan (%),4.21
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"2,498,697.50","3,510,363.10",Perubahan (%),-0.41
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2017,"9,912,928.10","13,589,825.70",Perubahan (%),5.07
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"2,508,971.90","3,490,727.70",Perubahan (%),-1.7
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"2,552,296.90","3,504,138.50",Perubahan (%),3.19
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"2,473,512.90","3,366,787.30",Perubahan (%),4.01
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW1,"2,378,146.40","3,228,172.20",Perubahan (%),-0.3
2018,Produk Domestik Bruto,PDB_2018.xlsx,'2016,"9,434,613.40","12,401,728.50",Perubahan (%),5.03
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW4,"2,385,186.80","3,193,903.80",Perubahan (%),-1.81
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW3,"2,429,260.60","3,205,019.00",Perubahan (%),3.13
2018,Produk Domestik Bruto,PDB_2018.xlsx,'TW2,"2,355,445.00","3,073,536.70",Perubahan (%),4.01
